Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url,Duration to complete (Approx.),Number of Review
Fashion as Design,4.8,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Creativity","Introduction, Heroes, Silhouettes, Coutures, Lifecycle, Modesty, Expression","Anna Burckhardt, Paola Antonelli, Michelle Millar Fisher, Stephanie Kramer",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/learn/fashion-design,20.0,2813
Modern American Poetry,4.4,Beginner level,Flexible schedule,Not specified,Not specified,"Orientation, Module 1, Module 2, Module 3, Module 4",Cary Nelson,University of Illinois at Urbana-Champaign,Arts and Humanities,https://www.coursera.org/learn/modern-american-poetry,34.0,100
Pixel Art for Video Games,4.5,Beginner level,Flexible schedule,Not specified,Not specified,"Week 1: Introduction to Pixel Art, Week 2: Pixel Art Environments, Week 3: Pixel Art Characters, Week 4: Pixel Art Animation, Week 5: Pixel Art Project","Andrew Dennis, Ricardo Guimaraes",Michigan State University,Arts and Humanities,https://www.coursera.org/learn/pixel-art-video-games,9.0,227
Distribución digital de la música independiente,0.0,Beginner level,Flexible schedule,Not specified,Not specified,"Semana 1, Semana 2, Semana 3, Semana 4",Eduardo de la Vara Brown.,SAE Institute México,Arts and Humanities,https://www.coursera.org/learn/distribucion-digital-de-la-musica-independiente,8.0,0
The Blues: Understanding and Performing an American Art Form,4.8,Beginner level,Flexible schedule,Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. ,"Music, Chord, Jazz, Jazz Improvisation","Blues Progressions – Theory and Practice , Blues Scales , Keyboard Realization , “Bird” Blues and Other Blues Progressions, Improvisational Tools , Improvising the Blues – Part 1 , Improvising the Blues – Part 2",Dariusz Terefenko,University of Rochester,Arts and Humanities,https://www.coursera.org/learn/the-blues,11.0,582
So You Think You Know Tango?,4.6,Beginner level,Flexible schedule,"Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry.List the components that make a tango.Eexplore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes.",Not specified,"Module 1: The Many Dimensions of Tango and Tango Music, Module 2: Tango Words and Movements",Kristin Wendland,Emory University,Arts and Humanities,https://www.coursera.org/learn/tango,5.0,107
The Politics of Skepticism,4.5,Intermediate level,Flexible schedule,Not specified,Not specified,"Political Origins, Skepticism and Religion, Skepticism and Natural Law, Skepticism and Conservatism, “There’s a method to his madness”: Responses to Cartesian Skepticism, Fallibilism, prejudices and toleration: Lessons from Pyrrhonian Skepticism, The marketplace of ideas: An imaginative argument for freedom of expression, The benefit of the doubt: Critical creative problem solving in politics","Tim De Mey, Wiep van Bunge",Erasmus University Rotterdam,Arts and Humanities,https://www.coursera.org/learn/erasmus-philosophy-skepticism,13.0,38
Становлення сучасної України,0.0,Beginner level,Flexible schedule,Not specified,Not specified,Становлення сучасної України,Timothy Snyder,Yale University,Arts and Humanities,https://www.coursera.org/learn/the-making-of-modern-ukraine-ua,23.0,0
Exploring Beethoven's Piano Sonatas Part 4,4.9,Intermediate level,Flexible schedule,Not specified,Not specified,"Welcome to Class!, Op. 2, No. 2, Op. 10, No. 3, Op. 28, Op. 110, Your Thoughts Welcome",Jonathan Biss,Curtis Institute of Music,Arts and Humanities,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-4,5.0,63
悖论：思维的魔方,4.8,Beginner level,Flexible schedule,Not specified,Not specified,"预备知识和悖论概述, 上帝悖论和连锁悖论, 芝诺悖论和无穷之谜, 逻辑-集合论悖论和语义悖论, 语义悖论、归纳悖论和认知悖论, 各种认知悖论, 认知悖论和合理行动悖论, 道德悖论和中国古代悖论, 中国古代悖论, 关于悖论的进一步思考, 拓展材料：研讨会实录及学生报告, 期末考试",陈波,Peking University,Arts and Humanities,https://www.coursera.org/learn/bei-lun,44.0,39
拍摄：像剪辑师一样拍摄,4.8,Not specified,Flexible schedule,Not specified,Not specified,"绪论&片场职能分工：为你的影片组建精干的团队, 文本解读：你首先是一名观众, 视觉呈现：没人会冲着华丽的摄影去看一部电影, 表演功课：别让蹩脚的表演毁了你的影片, 啥也不多说，开始拍吧！",许 肖潇,Fudan University,Arts and Humanities,https://www.coursera.org/learn/pai-she,10.0,21
In the Studio: Postwar Abstract Painting,4.9,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Color Theory","Introduction, Barnett Newman, Willem de Kooning, Jackson Pollock, Mark Rothko, Agnes Martin, Ad Reinhardt, Yayoi Kusama, Yayoi Kusama: Lesson Choices","""Corey DAugustine"", Alex Roediger",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/learn/painting,26.0,1421
Philosophy of Science,4.7,Intermediate level,Flexible schedule,Not specified,Not specified,"Introduction and Core Examples , Scientific Methods , Scientific Objectivity, Values in Science",Michael Weisberg,University of Pennsylvania,Arts and Humanities,https://www.coursera.org/learn/philosophy-of-science,12.0,208
Basic Elements of Design: Design Principles and Software Overview,4.7,Beginner level,Flexible schedule,"Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession.Compare the concepts of balance, proximity, alignment, repetition, contrast and space.Discover the use of white space to develop shape, form, and structure in graphic projects.","Print Design, online design, Color Theory, Graphic Design, textual elements","What is Graphic Design?, Elements of Design, Basic Concepts of Design",Lori Poole,University of Colorado Boulder,Arts and Humanities,https://www.coursera.org/learn/basic-elements-design,10.0,925
"Online Games: Literature, New Media, and Narrative",4.6,Beginner level,Flexible schedule,Not specified,Not specified,"Game on! The History and Theory of MMOs, LOTRO and Tolkien, Romance and Realism, Space and Time in Three Media, Pwning Spenser’s Faerie Queene, The Holy Grail: A Good End Game",Jay Clayton,Vanderbilt University,Arts and Humanities,https://www.coursera.org/learn/interactive-media-gaming,21.0,179
Concept Art for Video Games,4.6,Not specified,Flexible schedule,Not specified,Not specified,"Introduction, Week 01: Compositional Studies for Concept Art, Week 02: Intro to 3D for Concept Art, Week 03: Modeling and Exporting, Week 04: Painting the Concept",Ricardo Guimaraes,Michigan State University,Arts and Humanities,https://www.coursera.org/learn/concept-art-video-games,6.0,66
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,4.8,Beginner level,Flexible schedule,Not specified,Not specified,"Israeli Society: The First Years 1948-1967 , Israel, Between War and Peace 1967-1979, Israel - A Society in transition 1977-1995, Changing Identity, Israel in the 21th century","Professor Eyal Naveh, Professor Asher  Susser",Tel Aviv University,Arts and Humanities,https://www.coursera.org/learn/history-israel-sovereign-state,11.0,328
Shaping Urban Futures,4.7,Intermediate level,Flexible schedule,Not specified,"Urban sciences, Urban research, Knowledge generation through research","Shaping Urban Futures: An Introduction, How to Know a City: New Urban Sciences, What to Know in a City: New Urban Formations, How Cities are Changing: Urban Disruptions, Transforming the City: Making a Difference on the Ground, Reflections on the Future City: Conclusion","Michael Keith, Gautam Bhan, Pengjun Zhao, ""Neave OClery"", Susan Parnell, Juan C. Duque, Tim Schwanen, Edgar Pieterse, Aromar Revi",Indian Institute for Human Settlements,Arts and Humanities,https://www.coursera.org/learn/shaping-urban-futures,21.0,28
中国哲学经典著作导读,4.5,Not specified,Flexible schedule,Not specified,Not specified,"《周易》导读, 《道德经》导读 , 《论语》导读, 《大学》和《中庸》导读 , 《孙子兵法》导读, 《墨经》导读 , 《心经》导读 , 《庄子》导读 , 朱熹思想导读 , 《传习录》导读 ","龚 建平, 李 重, 张 帆, 韩 鹏杰, 邓 妙子, 雒 自新, 妥 建清, 燕 连福","""Xian Jiaotong University""",Arts and Humanities,https://www.coursera.org/learn/chinese-philosophy,17.0,267
